measure,term,beta,p
qtee_k5,qtee_k5,-0.004243353183112829,9.870020320426467e-05
qtee_k5,qtee_k5_L1,0.000585960682492323,0.6123936661214928
qtee_k5,tee_k3,0.007450537110631879,1.0715350505608126e-12
qtee_k5,tee_k3_L1,0.0035146800191192956,0.002409126477365913
qtee_k5,surprisal,0.007458064992356742,4.1348281935608803e-22
qtee_k5,surprisal_L1,0.011224381825172998,1.594196408989905e-51
qtee_k7,qtee_k7,0.0008343860933279282,0.36976135569866386
qtee_k7,qtee_k7_L1,0.0005430788221561442,0.5735510510893744
qtee_k7,tee_k3,0.002989071044277293,0.0017819509929273521
qtee_k7,tee_k3_L1,0.0035235571853860573,0.00013888152856705662
qtee_k7,surprisal,0.007471722991154268,3.0602698289219888e-22
qtee_k7,surprisal_L1,0.011121241288326728,2.6776390363166583e-51
ldstee_k10,ldstee_k10,-0.0006072902111761008,0.2535994571536867
ldstee_k10,ldstee_k10_L1,0.0006765493131663004,0.22132722656500114
ldstee_k10,tee_k3,0.003787528073056979,1.4732820081715484e-09
ldstee_k10,tee_k3_L1,0.003747771015909708,6.87895410268898e-10
ldstee_k10,surprisal,0.007522810579158034,3.7296497873413573e-22
ldstee_k10,surprisal_L1,0.011154004097469122,7.13133431094971e-51
ftee_n50,ftee_n50,0.002123600873805566,0.021662178842332513
ftee_n50,ftee_n50_L1,0.005100754869232817,5.138321042797734e-09
ftee_n50,tee_k3,0.002151657030316615,0.010585687028518432
ftee_n50,tee_k3_L1,0.00026606299771441896,0.7547384320028847
ftee_n50,surprisal,0.007558753436513868,1.489912032955454e-22
ftee_n50,surprisal_L1,0.010857776351029448,5.923533603766037e-49
fgap_n50,fgap_n50,0.001158296234678809,0.040316098543072325
fgap_n50,fgap_n50_L1,-0.004143140425281636,6.786743466242115e-16
fgap_n50,tee_k3,0.0033241750325912027,1.1086119567741688e-07
fgap_n50,tee_k3_L1,0.004233214633679976,6.475057792177325e-15
fgap_n50,surprisal,0.007557672280691135,7.234067795702816e-23
fgap_n50,surprisal_L1,0.011156028888170601,8.82887654430819e-52
