lag,term,beta,p
1,ntee_k100,0.18160841766304722,9.459299488783154e-11
1,entropy,0.08756485529205468,0.006544044615994741
1,curvature_3,0.024507989539775246,0.35256155670912837
1,surprisal,0.07834995460048615,0.037108883423277374
2,ntee_k100,0.1632767118410156,5.0105243805641014e-08
2,entropy,0.10125725118017409,0.001489687989037927
2,curvature_3,0.006784694118843273,0.7925373522511089
2,surprisal,0.16612894833291408,1.0217087833216815e-05
3,ntee_k100,0.1505787833099652,6.451555295523748e-07
3,entropy,0.08885326624006618,0.007020050336437638
3,curvature_3,0.003217851296937085,0.9011971631934896
3,surprisal,0.11544209808789656,0.0012209640267278003
4,ntee_k100,0.1623818972500825,6.371445594246402e-07
4,entropy,0.0402314610756554,0.17054644201968916
4,curvature_3,0.023560151651525363,0.38764737623178924
4,surprisal,0.0887927285110238,0.005570173853804378
5,ntee_k100,0.15422273120858981,2.84414654641281e-07
5,entropy,0.03975641026924602,0.18492504034185342
5,curvature_3,-0.02068105452410632,0.4267054626908676
5,surprisal,0.07042483397288288,0.014599484087303967
6,ntee_k100,0.13565790227312813,1.5500553257957047e-06
6,entropy,0.005318227074312874,0.8576264024501147
6,curvature_3,0.024699325041936157,0.3414812030053356
6,surprisal,0.11565774605206867,0.000271710877593436
7,ntee_k100,0.11820213215166127,2.117253010661212e-05
7,entropy,0.017223408989998055,0.6060945441986851
7,curvature_3,0.04778820508059544,0.05449190198530022
7,surprisal,0.11329887097732465,0.0034821496955954054
8,ntee_k100,0.12376909807554004,1.929294854178434e-05
8,entropy,0.035156030696461754,0.24342948257755548
8,curvature_3,-0.000916380377195495,0.9707786998989234
8,surprisal,0.08515783049381485,0.009160999618317081
9,ntee_k100,0.1393444229409029,2.1804637524876758e-06
9,entropy,0.035950961758418346,0.18247242849517675
9,curvature_3,0.03131537723926405,0.21693372549673084
9,surprisal,0.08340105450448006,0.014437943635568608
10,ntee_k100,0.12383648699778044,2.243563621641884e-05
10,entropy,0.019991279448726994,0.4875022882860791
10,curvature_3,0.001150607706593025,0.9635557554301095
10,surprisal,0.05303144923034367,0.10202269025534935
